Date,Open,High,Low,Close,Volume,Market Cap
"May 10, 2016",460.52,461.93,448.95,450.89,58956100,7150370000
"May 09, 2016",458.21,462.48,456.53,460.48,55493100,7112510000
"May 08, 2016",458.43,459.42,455.98,458.55,40315000,7114060000
"May 07, 2016",459.64,460.68,457.32,458.54,38364500,7131120000
"May 06, 2016",447.94,461.38,447.07,459.6,72796800,6947800000
"May 05, 2016",446.71,448.51,445.88,447.98,50440800,6926990000
"May 04, 2016",450.18,450.38,445.63,446.72,50407300,6978950000
"May 03, 2016",444.73,451.1,442.62,450.3,59366400,6892690000
"May 02, 2016",451.93,452.44,441.78,444.67,92127000,7002610000
"May 01, 2016",448.48,452.48,447.93,451.88,40660100,6947430000
"Apr 30, 2016",455.18,455.59,447.7,448.32,69322600,7049460000
"Apr 29, 2016",449.41,455.38,446.02,455.1,49258500,6958330000
"Apr 28, 2016",445.04,449.55,436.65,449.01,74064700,6889170000
"Apr 27, 2016",466.26,467.08,444.13,444.69,93564900,7216190000
"Apr 26, 2016",461.65,467.96,461.62,466.09,78971900,7143060000
"Apr 25, 2016",459.12,466.62,453.59,461.43,87091800,7102490000
"Apr 24, 2016",450.56,460.15,448.93,458.56,68198400,6968570000
"Apr 23, 2016",445.86,450.28,444.33,450.28,50485400,6894280000
"Apr 22, 2016",449.69,449.81,444.15,445.74,58804400,6951860000
"Apr 21, 2016",441.42,450.55,440.95,449.43,68204700,6822320000
"Apr 20, 2016",435.32,443.05,434.41,441.39,72890100,6726370000
"Apr 19, 2016",428.7,436.02,428.1,435.51,52810500,6622450000
"Apr 18, 2016",427.61,429.27,427.09,428.59,55670900,6604150000
"Apr 17, 2016",430.64,431.37,426.08,427.4,52125900,6649170000
"Apr 16, 2016",429.57,432.63,428.98,430.57,39392800,6631310000
"Apr 15, 2016",424.43,429.93,424.43,429.71,54801500,6550350000
"Apr 14, 2016",423.94,425.37,423.01,424.28,45281000,6541030000
"Apr 13, 2016",425.63,426.66,422.92,423.73,69060400,6565470000
